schemeBy,schemeLocation,foundedBy,departmentName,Beneficiary,schemeObjective,schemeName,description,tags
Central,National,Ministry of Health and Family Welfare,Higher and Technical Education Department,Individual,To encourage meritorious students to continue their education,National Meritorious Student Excellence Award,This scheme aims to To encourage meritorious students to continue their education for meritorious by implementing the student excellence award. It provides support and benefits to eligible beneficiaries in line with the goal of To encourage meritorious students to continue their education.,"Merit, Student, Scholarship, Urban"
Central,National,Ministry of Health and Family Welfare,Education Department,Individual,To assist students from disadvantaged backgrounds in accessing quality education,State Minority Research Fellowship,This scheme aims to To assist students from disadvantaged backgrounds in accessing quality education for minority by implementing the research fellowship. It provides support and benefits to eligible beneficiaries in line with the goal of To assist students from disadvantaged backgrounds in accessing quality education.,"Minority, Student, Scholarship"
Central,National,Ministry of Social Justice,Higher and Technical Education Department,Individual,To encourage meritorious students to continue their education,State OBC Research Fellowship,This scheme aims to To encourage meritorious students to continue their education for obc by implementing the research fellowship. It provides support and benefits to eligible beneficiaries in line with the goal of To encourage meritorious students to continue their education.,"OBC, Student, Scholarship"
State,Uttar Pradesh,State Government of Uttar Pradesh,Higher and Technical Education Department,Individual,To encourage meritorious students to continue their education,Central Economically Backward Merit Scholarship,This scheme aims to To encourage meritorious students to continue their education for economically backward by implementing the merit scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To encourage meritorious students to continue their education.,"Economically Backward, Student, Scholarship"
Central,National,Central Government of India,Education Department,Individual,To assist students from disadvantaged backgrounds in accessing quality education,Central SC Pre-Matric Scholarship,This scheme aims to To assist students from disadvantaged backgrounds in accessing quality education for sc by implementing the pre-matric scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To assist students from disadvantaged backgrounds in accessing quality education.,"SC, Student, Scholarship"
State,Gujarat,State Government of Gujarat,Education Department,Individual,To assist students from disadvantaged backgrounds in accessing quality education,National SC Education Grant,This scheme aims to To assist students from disadvantaged backgrounds in accessing quality education for sc by implementing the education grant. It provides support and benefits to eligible beneficiaries in line with the goal of To assist students from disadvantaged backgrounds in accessing quality education.,"SC, Student, Scholarship"
State,Karnataka,State Government of Karnataka,Higher and Technical Education Department,Individual,To provide financial support to eligible students for pursuing higher studies,State ST Education Grant,This scheme aims to To provide financial support to eligible students for pursuing higher studies for st by implementing the education grant. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial support to eligible students for pursuing higher studies.,"ST, Student, Scholarship, Rural"
Municipal,"Ahmedabad, Gujarat",Municipal Corporation,Higher and Technical Education Department,Individual,To assist students from disadvantaged backgrounds in accessing quality education,Chief Minister Disabled Pre-Matric Scholarship,This scheme aims to To assist students from disadvantaged backgrounds in accessing quality education for disabled by implementing the pre-matric scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To assist students from disadvantaged backgrounds in accessing quality education.,"Disabled, Student, Scholarship, Urban"
State,Bihar,State Government of Bihar,Higher and Technical Education Department,Individual,To assist students from disadvantaged backgrounds in accessing quality education,Pradhan Mantri Girl Student Excellence Award,This scheme aims to To assist students from disadvantaged backgrounds in accessing quality education for girl by implementing the student excellence award. It provides support and benefits to eligible beneficiaries in line with the goal of To assist students from disadvantaged backgrounds in accessing quality education.,"Girl, Student, Scholarship"
Central,National,Ministry of Agriculture,Higher and Technical Education Department,Individual,To encourage meritorious students to continue their education,Pradhan Mantri OBC Pre-Matric Scholarship,This scheme aims to To encourage meritorious students to continue their education for obc by implementing the pre-matric scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To encourage meritorious students to continue their education.,"OBC, Student, Scholarship, Rural, Poor"
Central,National,Ministry of Social Justice,Education Department,Individual,To assist students from disadvantaged backgrounds in accessing quality education,Chief Minister OBC Merit Scholarship,This scheme aims to To assist students from disadvantaged backgrounds in accessing quality education for obc by implementing the merit scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To assist students from disadvantaged backgrounds in accessing quality education.,"OBC, Student, Scholarship"
Municipal,"Patna, Bihar",Municipal Corporation,Education Department,Individual,To provide financial support to eligible students for pursuing higher studies,Central Meritorious Education Grant,This scheme aims to To provide financial support to eligible students for pursuing higher studies for meritorious by implementing the education grant. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial support to eligible students for pursuing higher studies.,"Merit, Student, Scholarship"
Central,National,Ministry of Agriculture,Higher and Technical Education Department,Individual,To provide financial support to eligible students for pursuing higher studies,Central Meritorious Student Excellence Award,This scheme aims to To provide financial support to eligible students for pursuing higher studies for meritorious by implementing the student excellence award. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial support to eligible students for pursuing higher studies.,"Merit, Student, Scholarship"
Central,National,Ministry of Social Justice,Education Department,Individual,To provide financial support to eligible students for pursuing higher studies,State ST Research Fellowship,This scheme aims to To provide financial support to eligible students for pursuing higher studies for st by implementing the research fellowship. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial support to eligible students for pursuing higher studies.,"ST, Student, Scholarship"
State,Karnataka,State Government of Karnataka,Higher and Technical Education Department,Individual,To encourage meritorious students to continue their education,Chief Minister Girl Education Grant,This scheme aims to To encourage meritorious students to continue their education for girl by implementing the education grant. It provides support and benefits to eligible beneficiaries in line with the goal of To encourage meritorious students to continue their education.,"Girl, Student, Scholarship, Rural"
Central,National,Ministry of Social Justice,Education Department,Individual,To provide financial support to eligible students for pursuing higher studies,Chief Minister OBC Merit Scholarship (2),This scheme aims to To provide financial support to eligible students for pursuing higher studies for obc by implementing the merit scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial support to eligible students for pursuing higher studies.,"OBC, Student, Scholarship"
State,Bihar,State Government of Bihar,Education Department,Individual,To encourage meritorious students to continue their education,Chief Minister Minority Education Grant,This scheme aims to To encourage meritorious students to continue their education for minority by implementing the education grant. It provides support and benefits to eligible beneficiaries in line with the goal of To encourage meritorious students to continue their education.,"Minority, Student, Scholarship"
District,"Ahmedabad, Gujarat",District Council,Education Department,Individual,To assist students from disadvantaged backgrounds in accessing quality education,Chief Minister SC Merit Scholarship,This scheme aims to To assist students from disadvantaged backgrounds in accessing quality education for sc by implementing the merit scholarship. It provides support and benefits to eligible beneficiaries in line with the goal of To assist students from disadvantaged backgrounds in accessing quality education.,"SC, Student, Scholarship, Rural"
